index: 0, pos_x: 15, pos_y: -81
index: 1, pos_x: 15, pos_y: -84
index: 2, pos_x: 15, pos_y: -90
index: 3, pos_x: 15, pos_y: -90
index: 4, pos_x: 15, pos_y: -90
index: 5, pos_x: 15, pos_y: -90
index: 6, pos_x: 15, pos_y: -90
index: 7, pos_x: 15, pos_y: -384
index: 8, pos_x: 15, pos_y: -381
index: 9, pos_x: 15, pos_y: -375
index: 10, pos_x: 15, pos_y: -381
index: 11, pos_x: 15, pos_y: -93
index: 12, pos_x: 18, pos_y: -75
index: 13, pos_x: 12, pos_y: -384
index: 14, pos_x: 15, pos_y: -375
index: 15, pos_x: 15, pos_y: -375
index: 16, pos_x: 15, pos_y: -378
index: 17, pos_x: 15, pos_y: -375
index: 18, pos_x: 9, pos_y: -381
index: 19, pos_x: 9, pos_y: -381
index: 20, pos_x: 9, pos_y: -363
index: 21, pos_x: 9, pos_y: -384
index: 22, pos_x: 9, pos_y: -378
