index: 0, pos_x: -3, pos_y: -27
index: 1, pos_x: -3, pos_y: -24
index: 2, pos_x: -3, pos_y: -21
index: 3, pos_x: -3, pos_y: -18
index: 4, pos_x: -3, pos_y: -15
index: 5, pos_x: -6, pos_y: -33
index: 6, pos_x: -6, pos_y: -36
index: 7, pos_x: -9, pos_y: -39
index: 8, pos_x: -12, pos_y: -39
index: 9, pos_x: -15, pos_y: -42
index: 10, pos_x: -18, pos_y: -39
index: 11, pos_x: -18, pos_y: -36
index: 12, pos_x: -18, pos_y: -33
index: 13, pos_x: -18, pos_y: -33
index: 14, pos_x: -15, pos_y: -36
index: 15, pos_x: -3, pos_y: -39
index: 16, pos_x: -3, pos_y: -36
index: 17, pos_x: -3, pos_y: -30
index: 18, pos_x: -3, pos_y: -39
index: 19, pos_x: -51, pos_y: -27
index: 20, pos_x: -72, pos_y: 3
index: 21, pos_x: -111, pos_y: 3
index: 22, pos_x: -105, pos_y: 9
index: 23, pos_x: -105, pos_y: 9
index: 24, pos_x: -99, pos_y: 6
index: 25, pos_x: -72, pos_y: 6
index: 26, pos_x: -72, pos_y: 6
index: 27, pos_x: -9, pos_y: -27
index: 28, pos_x: -72, pos_y: 3
index: 29, pos_x: -72, pos_y: -54
index: 30, pos_x: -72, pos_y: -246
index: 31, pos_x: -72, pos_y: -300
index: 32, pos_x: -72, pos_y: -294
index: 33, pos_x: -72, pos_y: -297
index: 34, pos_x: -72, pos_y: -261
index: 35, pos_x: -72, pos_y: -255
index: 36, pos_x: -72, pos_y: -126
index: 37, pos_x: -72, pos_y: -54
index: 38, pos_x: -72, pos_y: -66
index: 39, pos_x: -3, pos_y: -27
index: 40, pos_x: -3, pos_y: -24
index: 41, pos_x: -3, pos_y: -18
index: 42, pos_x: -3, pos_y: -9
index: 43, pos_x: -3, pos_y: 6
index: 44, pos_x: -3, pos_y: 24
index: 45, pos_x: -3, pos_y: 51
index: 46, pos_x: -3, pos_y: 84
index: 47, pos_x: -3, pos_y: 84
index: 48, pos_x: -72, pos_y: 9
index: 49, pos_x: -72, pos_y: 6
index: 50, pos_x: -30, pos_y: -33
index: 51, pos_x: -33, pos_y: -30
index: 52, pos_x: -36, pos_y: -30
index: 53, pos_x: -39, pos_y: -33
index: 54, pos_x: -42, pos_y: -30
index: 55, pos_x: -42, pos_y: -27
index: 56, pos_x: -42, pos_y: -30
index: 57, pos_x: -42, pos_y: -24
index: 58, pos_x: -39, pos_y: -27
index: 59, pos_x: -3, pos_y: -27
index: 60, pos_x: -3, pos_y: -24
index: 61, pos_x: -3, pos_y: -18
index: 62, pos_x: -3, pos_y: -9
index: 63, pos_x: -3, pos_y: -9
index: 64, pos_x: -3, pos_y: -6
index: 65, pos_x: -3, pos_y: 0
index: 66, pos_x: -6, pos_y: 6
index: 67, pos_x: -3, pos_y: 21
index: 68, pos_x: -3, pos_y: 39
index: 69, pos_x: -3, pos_y: 63
index: 70, pos_x: -3, pos_y: 81
index: 71, pos_x: -3, pos_y: -288
index: 72, pos_x: -3, pos_y: -288
index: 73, pos_x: -3, pos_y: -288
index: 74, pos_x: -3, pos_y: -288
index: 75, pos_x: -3, pos_y: -288
index: 76, pos_x: -3, pos_y: -288
index: 77, pos_x: -3, pos_y: -288
