index: 0, pos_x: -12, pos_y: 0
index: 1, pos_x: -3, pos_y: 0
index: 2, pos_x: -12, pos_y: 0
index: 3, pos_x: -12, pos_y: -3
index: 4, pos_x: -12, pos_y: -3
index: 5, pos_x: -12, pos_y: -3
index: 6, pos_x: -12, pos_y: -3
index: 7, pos_x: -12, pos_y: -9
index: 8, pos_x: -12, pos_y: -12
index: 9, pos_x: -15, pos_y: -18
index: 10, pos_x: -15, pos_y: -27
index: 11, pos_x: -15, pos_y: -18
index: 12, pos_x: -21, pos_y: -27
index: 13, pos_x: -39, pos_y: -18
index: 14, pos_x: -36, pos_y: -27
index: 15, pos_x: -12, pos_y: 0
index: 16, pos_x: -18, pos_y: -3
index: 17, pos_x: -24, pos_y: -6
index: 18, pos_x: -12, pos_y: -9
index: 19, pos_x: -12, pos_y: -6
index: 20, pos_x: -12, pos_y: -6
index: 21, pos_x: -9, pos_y: -3
index: 22, pos_x: -9, pos_y: 3
index: 23, pos_x: -6, pos_y: -42
index: 24, pos_x: -6, pos_y: -75
index: 25, pos_x: -3, pos_y: -75
index: 26, pos_x: 0, pos_y: -75
index: 27, pos_x: -6, pos_y: -72
index: 28, pos_x: -12, pos_y: -48
index: 29, pos_x: -75, pos_y: 15
index: 30, pos_x: -75, pos_y: 18
index: 31, pos_x: -75, pos_y: 12
index: 32, pos_x: -39, pos_y: 6
index: 33, pos_x: -6, pos_y: -66
index: 34, pos_x: -6, pos_y: -66
index: 35, pos_x: 12, pos_y: -54
index: 36, pos_x: 21, pos_y: -18
index: 37, pos_x: 21, pos_y: -12
index: 38, pos_x: -6, pos_y: -75
index: 39, pos_x: -6, pos_y: -75
index: 40, pos_x: -3, pos_y: -75
index: 41, pos_x: -6, pos_y: -75
index: 42, pos_x: -12, pos_y: -72
index: 43, pos_x: -75, pos_y: -48
