index: 0, pos_x: 21, pos_y: 15
index: 1, pos_x: 15, pos_y: 6
index: 2, pos_x: 9, pos_y: -3
index: 3, pos_x: 3, pos_y: -9
index: 4, pos_x: -3, pos_y: -18
index: 5, pos_x: -6, pos_y: -24
index: 6, pos_x: -9, pos_y: -27
index: 7, pos_x: -15, pos_y: -30
index: 8, pos_x: -18, pos_y: -36
index: 9, pos_x: -21, pos_y: -30
index: 10, pos_x: 21, pos_y: 15
index: 11, pos_x: 15, pos_y: 6
index: 12, pos_x: 9, pos_y: -3
index: 13, pos_x: 3, pos_y: -9
index: 14, pos_x: -3, pos_y: -18
index: 15, pos_x: -6, pos_y: -24
index: 16, pos_x: -9, pos_y: -27
index: 17, pos_x: -15, pos_y: -30
index: 18, pos_x: -18, pos_y: -36
index: 19, pos_x: -21, pos_y: -30
index: 20, pos_x: 21, pos_y: 15
index: 21, pos_x: 15, pos_y: 6
index: 22, pos_x: 9, pos_y: -3
index: 23, pos_x: 3, pos_y: -9
index: 24, pos_x: -3, pos_y: -18
index: 25, pos_x: -6, pos_y: -24
index: 26, pos_x: -9, pos_y: -27
index: 27, pos_x: -15, pos_y: -30
index: 28, pos_x: -18, pos_y: -36
index: 29, pos_x: -21, pos_y: -30
index: 30, pos_x: 21, pos_y: 15
index: 31, pos_x: 15, pos_y: 6
index: 32, pos_x: 9, pos_y: -3
index: 33, pos_x: 3, pos_y: -9
index: 34, pos_x: -3, pos_y: -18
index: 35, pos_x: -6, pos_y: -24
index: 36, pos_x: -9, pos_y: -27
index: 37, pos_x: -15, pos_y: -30
index: 38, pos_x: -18, pos_y: -36
index: 39, pos_x: -21, pos_y: -30
index: 40, pos_x: 21, pos_y: 15
index: 41, pos_x: 15, pos_y: 6
index: 42, pos_x: 9, pos_y: -3
index: 43, pos_x: 3, pos_y: -9
index: 44, pos_x: -3, pos_y: -18
index: 45, pos_x: -6, pos_y: -24
index: 46, pos_x: -9, pos_y: -27
index: 47, pos_x: -15, pos_y: -30
index: 48, pos_x: -21, pos_y: -30
index: 49, pos_x: -132, pos_y: -195
index: 50, pos_x: -150, pos_y: -129
index: 51, pos_x: -120, pos_y: -96
index: 52, pos_x: -57, pos_y: -36
index: 53, pos_x: -93, pos_y: -72
index: 54, pos_x: -51, pos_y: -39
index: 55, pos_x: -18, pos_y: -39
index: 56, pos_x: -9, pos_y: -27
index: 57, pos_x: -6, pos_y: -24
index: 58, pos_x: -3, pos_y: -18
index: 59, pos_x: 3, pos_y: -9
index: 60, pos_x: 9, pos_y: -3
index: 61, pos_x: 15, pos_y: 6
index: 62, pos_x: 18, pos_y: 15
index: 63, pos_x: 9, pos_y: 15
index: 64, pos_x: 6, pos_y: 15
index: 65, pos_x: 18, pos_y: 3
index: 66, pos_x: 27, pos_y: 3
index: 67, pos_x: 30, pos_y: 0
index: 68, pos_x: 36, pos_y: -3
index: 69, pos_x: 36, pos_y: 6
index: 70, pos_x: 36, pos_y: 15
